Time	Status code	Status category	Status color	Pgm code	Pgm step	Pgm para	Pgm cycle	mV	mA	Temperature	Duration	Charge count	Discharge count	Capacity	Analog input 1	Analog input 2	Analog input 3	Analog input 4	Digital input 1	Digital input 2	Digital input 3	Digital input 4	Digital output 1	Digital output 2	Digital output 3	Digital output 4	Analog output 1	Analog output 2	
0.000000	8	3	3	0	1	2	2	4210	349	19	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.999367	8	3	3	0	1	2	2	4210	302	19	63	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.994400	8	3	3	0	1	2	2	4210	285	19	122	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.990883	8	3	3	0	1	2	2	4210	276	19	182	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.985917	8	3	3	0	1	2	2	4210	269	19	242	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.001117	8	3	3	0	1	2	2	4210	262	19	303	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.996167	8	3	3	0	1	2	2	4210	257	19	363	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.992633	8	3	3	0	1	2	2	4210	250	19	422	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.987683	8	3	3	0	1	2	2	4210	245	19	482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.984167	8	3	3	0	1	2	2	4210	239	19	542	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.997917	8	3	3	0	1	2	2	4210	233	19	603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.992967	8	3	3	0	1	2	2	4210	229	19	662	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11.989433	8	3	3	0	1	2	2	4210	223	19	722	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12.994567	8	3	3	0	1	2	2	4210	218	19	782	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13.999683	8	3	3	0	1	2	2	4210	213	19	843	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.987517	8	3	3	0	1	2	2	4210	209	19	902	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15.992633	8	3	3	0	1	2	2	4210	204	19	962	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16.996317	8	3	3	0	1	2	2	4210	199	19	1023	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.994233	8	3	3	0	1	2	2	4210	195	19	1082	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19.000800	8	3	3	0	1	2	2	4210	192	19	1143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19.987200	8	3	3	0	1	2	2	4210	186	19	1202	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20.992317	8	3	3	0	1	2	2	4210	182	19	1262	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
