Time	Status code	Status category	Status color	Pgm code	Pgm step	Pgm para	Pgm cycle	mV	mA	Temperature	Duration	Charge count	Discharge count	Capacity	Analog input 1	Analog input 2	Analog input 3	Analog input 4	Digital input 1	Digital input 2	Digital input 3	Digital input 4	Digital output 1	Digital output 2	Digital output 3	Digital output 4	Analog output 1	Analog output 2	
0.000000	8	3	3	0	1	2	2	4130	552	27	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.675367	8	3	3	0	1	2	2	4124	546	26	43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.689117	8	3	3	0	1	2	2	4129	545	27	104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.685600	8	3	3	0	1	2	2	4134	545	26	164	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.682083	8	3	3	0	1	2	2	4137	543	27	223	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.677117	8	3	3	0	1	2	2	4142	544	27	283	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.690883	8	3	3	0	1	2	2	4145	543	26	344	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.687367	8	3	3	0	1	2	2	4149	544	26	404	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.682400	8	3	3	0	1	2	2	4153	542	27	463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.678883	8	3	3	0	1	2	2	4156	542	26	523	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.675367	8	3	3	0	1	2	2	4162	542	27	583	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.690567	8	3	3	0	1	2	2	4168	542	27	644	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11.687033	8	3	3	0	1	2	2	4174	542	27	704	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
