Time	Status code	Status category	Status color	Pgm code	Pgm step	Pgm para	Pgm cycle	mV	mA	Temperature	Duration	Charge count	Discharge count	Capacity	Analog input 1	Analog input 2	Analog input 3	Analog input 4	Digital input 1	Digital input 2	Digital input 3	Digital input 4	Digital output 1	Digital output 2	Digital output 3	Digital output 4	Analog output 1	Analog output 2	
0.000000	8	3	3	0	1	2	2	3452	101	25	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.254883	8	3	3	0	1	2	2	3553	674	25	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.268633	8	3	3	0	1	2	2	3642	674	25	78	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.265117	8	3	3	0	1	2	2	3697	673	25	138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.260167	8	3	3	0	1	2	2	3737	674	25	197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.256633	8	3	3	0	1	2	2	3766	674	25	257	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.251683	8	3	3	0	1	2	2	3777	674	25	317	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.269767	8	3	3	0	1	2	2	3783	674	25	378	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.264800	8	3	3	0	1	2	2	3788	674	25	438	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.258400	8	3	3	0	1	2	2	3792	675	25	497	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.253433	8	3	3	0	1	2	2	3798	675	25	557	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.271517	8	3	3	0	1	2	2	3803	674	25	618	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11.266567	8	3	3	0	1	2	2	3808	675	25	678	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12.254400	8	3	3	0	1	2	2	3814	675	25	737	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13.260967	8	3	3	0	1	2	2	3819	675	25	797	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.264633	8	3	3	0	1	2	2	3826	675	25	858	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15.269767	8	3	3	0	1	2	2	3832	674	25	918	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16.259033	8	3	3	0	1	2	2	3837	675	25	977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.261283	8	3	3	0	1	2	2	3843	674	25	1038	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18.267833	8	3	3	0	1	2	2	3848	675	25	1098	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19.257117	8	3	3	0	1	2	2	3853	676	25	1157	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20.259367	8	3	3	0	1	2	2	3858	675	25	1217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21.265917	8	3	3	0	1	2	2	3862	674	25	1278	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22.271033	8	3	3	0	1	2	2	3866	675	25	1338	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23.257433	8	3	3	0	1	2	2	3868	676	25	1397	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24.262567	8	3	3	0	1	2	2	3871	674	25	1457	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25.270567	8	3	3	0	1	2	2	3874	674	25	1518	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26.254083	8	3	3	0	1	2	2	3876	675	25	1577	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27.260633	8	3	3	0	1	2	2	3878	675	25	1637	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28.267200	8	3	3	0	1	2	2	3880	674	25	1698	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29.253600	8	3	3	0	1	2	2	3882	675	25	1757	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30.258717	8	3	3	0	1	2	2	3884	675	25	1817	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.265283	8	3	3	0	1	2	2	3886	674	25	1878	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32.268967	8	3	3	0	1	2	2	3888	674	25	1938	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33.256800	8	3	3	0	1	2	2	3890	675	25	1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34.264800	8	3	3	0	1	2	2	3892	675	25	2057	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35.267033	8	3	3	0	1	2	2	3895	674	25	2118	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.272167	8	3	3	0	1	2	2	3897	674	25	2178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.261433	8	3	3	0	1	2	2	3900	674	25	2237	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
38.263683	8	3	3	0	1	2	2	3902	674	25	2298	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
39.270233	8	3	3	0	1	2	2	3904	674	25	2358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
