Time	Status code	Status category	Status color	Pgm code	Pgm step	Pgm para	Pgm cycle	mV	mA	Temperature	Duration	Charge count	Discharge count	Capacity	Analog input 1	Analog input 2	Analog input 3	Analog input 4	Digital input 1	Digital input 2	Digital input 3	Digital input 4	Digital output 1	Digital output 2	Digital output 3	Digital output 4	Analog output 1	Analog output 2	
0.000000	8	3	3	0	1	2	2	3575	436	23	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.156967	8	3	3	0	1	2	2	3716	675	23	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.160633	8	3	3	0	1	2	2	3834	675	23	72	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.155683	8	3	3	0	1	2	2	3903	675	23	131	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.152167	8	3	3	0	1	2	2	3952	675	23	191	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.147200	8	3	3	0	1	2	2	3990	675	23	251	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.162400	8	3	3	0	1	2	2	4011	675	23	312	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.158883	8	3	3	0	1	2	2	4018	675	23	371	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.153917	8	3	3	0	1	2	2	4021	674	23	431	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.150400	8	3	3	0	1	2	2	4026	674	23	491	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.145433	8	3	3	0	1	2	2	4031	674	23	551	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.160633	8	3	3	0	1	2	2	4036	675	23	612	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11.155683	8	3	3	0	1	2	2	4042	674	23	671	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12.150717	8	3	3	0	1	2	2	4048	675	23	731	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13.155833	8	3	3	0	1	2	2	4054	674	23	791	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.160967	8	3	3	0	1	2	2	4061	674	23	852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15.148800	8	3	3	0	1	2	2	4068	675	23	911	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16.153917	8	3	3	0	1	2	2	4074	674	23	971	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.159033	8	3	3	0	1	2	2	4080	674	23	1031	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18.164167	8	3	3	0	1	2	2	4086	675	23	1092	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19.150567	8	3	3	0	1	2	2	4091	675	23	1151	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20.157117	8	3	3	0	1	2	2	4096	674	23	1211	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21.162233	8	3	3	0	1	2	2	4100	674	23	1272	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22.148633	8	3	3	0	1	2	2	4103	675	23	1331	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23.153767	8	3	3	0	1	2	2	4106	674	23	1391	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24.158883	8	3	3	0	1	2	2	4108	674	23	1451	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25.165433	8	3	3	0	1	2	2	4110	674	23	1512	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26.151833	8	3	3	0	1	2	2	4112	674	23	1571	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27.156967	8	3	3	0	1	2	2	4114	675	23	1631	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28.162083	8	3	3	0	1	2	2	4116	675	23	1692	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29.148483	8	3	3	0	1	2	2	4117	673	23	1751	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30.153600	8	3	3	0	1	2	2	4117	670	23	1811	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.160167	8	3	3	0	1	2	2	4117	667	23	1871	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32.165283	8	3	3	0	1	2	2	4119	667	23	1932	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33.151683	8	3	3	0	1	2	2	4121	666	23	1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34.156800	8	3	3	0	1	2	2	4122	666	23	2051	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35.161917	8	3	3	0	1	2	2	4124	665	23	2112	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.148317	8	3	3	0	1	2	2	4126	665	23	2171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.154883	8	3	3	0	1	2	2	4128	666	23	2231	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
38.160000	8	3	3	0	1	2	2	4129	664	23	2291	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
39.165117	8	3	3	0	1	2	2	4132	664	23	2352	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40.151517	8	3	3	0	1	2	2	4133	664	23	2411	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
41.156633	8	3	3	0	1	2	2	4135	664	23	2471	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42.161767	8	3	3	0	1	2	2	4137	663	23	2531	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
43.149600	8	3	3	0	1	2	2	4139	663	23	2591	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44.154717	8	3	3	0	1	2	2	4141	663	23	2651	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45.159833	8	3	3	0	1	2	2	4143	663	23	2711	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46.164967	8	3	3	0	1	2	2	4145	662	23	2772	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
47.151367	8	3	3	0	1	2	2	4147	663	23	2831	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48.157917	8	3	3	0	1	2	2	4150	662	23	2891	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49.163033	8	3	3	0	1	2	2	4152	662	23	2951	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
50.149433	8	3	3	0	1	2	2	4154	663	23	3011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
51.154567	8	3	3	0	1	2	2	4157	663	23	3071	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52.159683	8	3	3	0	1	2	2	4159	661	23	3131	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
53.166233	8	3	3	0	1	2	2	4161	662	23	3192	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.152633	8	3	3	0	1	2	2	4163	660	23	3251	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.157767	8	3	3	0	1	2	2	4166	660	23	3311	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56.162883	8	3	3	0	1	2	2	4169	660	23	3371	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57.149283	8	3	3	0	1	2	2	4171	660	23	3431	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
58.154400	8	3	3	0	1	2	2	4174	660	23	3491	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59.160967	8	3	3	0	1	2	2	4177	659	23	3551	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60.166083	8	3	3	0	1	2	2	4180	657	23	3612	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61.152483	8	3	3	0	1	2	2	4183	657	23	3671	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
