Time	Status code	Status category	Status color	Pgm code	Pgm step	Pgm para	Pgm cycle	mV	mA	Temperature	Duration	Charge count	Discharge count	Capacity	Analog input 1	Analog input 2	Analog input 3	Analog input 4	Digital input 1	Digital input 2	Digital input 3	Digital input 4	Digital output 1	Digital output 2	Digital output 3	Digital output 4	Analog output 1	Analog output 2	
0.000000	8	3	3	0	1	2	2	4020	168	26	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.937433	8	3	3	0	1	2	2	4200	547	26	58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.933917	8	3	3	0	1	2	2	4200	523	26	118	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.930400	8	3	3	0	1	2	2	4200	508	26	178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.944167	8	3	3	0	1	2	2	4200	496	26	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.939200	8	3	3	0	1	2	2	4200	486	26	299	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.935683	8	3	3	0	1	2	2	4200	477	26	358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.930717	8	3	3	0	1	2	2	4200	468	26	418	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.927200	8	3	3	0	1	2	2	4200	459	26	478	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.940967	8	3	3	0	1	2	2	4200	450	26	539	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.937433	8	3	3	0	1	2	2	4200	443	26	598	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.932483	8	3	3	0	1	2	2	4200	433	26	658	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11.928967	8	3	3	0	1	2	2	4200	426	26	718	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12.932633	8	3	3	0	1	2	2	4200	417	25	778	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13.939200	8	3	3	0	1	2	2	4200	410	26	838	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.944317	8	3	3	0	1	2	2	4200	401	26	899	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15.930717	8	3	3	0	1	2	2	4200	393	26	958	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16.935833	8	3	3	0	1	2	2	4200	385	26	1018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.942400	8	3	3	0	1	2	2	4200	377	26	1079	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18.927367	8	3	3	0	1	2	2	4200	370	25	1138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19.933917	8	3	3	0	1	2	2	4200	362	26	1198	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20.937600	8	3	3	0	1	2	2	4200	355	26	1258	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21.944167	8	3	3	0	1	2	2	4200	347	26	1319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22.932000	8	3	3	0	1	2	2	4200	340	26	1378	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23.937117	8	3	3	0	1	2	2	4200	334	26	1438	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24.943683	8	3	3	0	1	2	2	4200	326	25	1499	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25.928633	8	3	3	0	1	2	2	4200	320	26	1558	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26.933767	8	3	3	0	1	2	2	4200	313	26	1618	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
