Time	Status code	Status category	Status color	Pgm code	Pgm step	Pgm para	Pgm cycle	mV	mA	Temperature	Duration	Charge count	Discharge count	Capacity	Analog input 1	Analog input 2	Analog input 3	Analog input 4	Digital input 1	Digital input 2	Digital input 3	Digital input 4	Digital output 1	Digital output 2	Digital output 3	Digital output 4	Analog output 1	Analog output 2	
0.000000	8	3	3	0	1	2	2	3847	673	26	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.097917	8	3	3	0	1	2	2	3853	675	26	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.100167	8	3	3	0	1	2	2	3881	674	26	68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.096633	8	3	3	0	1	2	2	3893	675	26	128	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.110400	8	3	3	0	1	2	2	3902	674	26	189	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.106883	8	3	3	0	1	2	2	3911	675	26	249	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.101917	8	3	3	0	1	2	2	3918	674	26	308	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.098400	8	3	3	0	1	2	2	3926	675	26	368	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.093433	8	3	3	0	1	2	2	3933	674	26	428	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.110083	8	3	3	0	1	2	2	3940	676	26	489	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.105117	8	3	3	0	1	2	2	3946	674	26	548	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.101600	8	3	3	0	1	2	2	3953	675	26	608	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11.096633	8	3	3	0	1	2	2	3959	674	26	668	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12.107517	8	3	3	0	1	2	2	3965	675	26	729	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13.095367	8	3	3	0	1	2	2	3970	674	26	788	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.099033	8	3	3	0	1	2	2	3975	674	26	848	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15.105600	8	3	3	0	1	2	2	3981	675	26	908	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16.110717	8	3	3	0	1	2	2	3986	674	26	969	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.097117	8	3	3	0	1	2	2	3990	674	26	1028	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18.102233	8	3	3	0	1	2	2	3995	675	26	1088	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19.107367	8	3	3	0	1	2	2	3999	675	26	1149	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20.112483	8	3	3	0	1	2	2	4004	674	26	1209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21.100317	8	3	3	0	1	2	2	4008	674	26	1268	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22.104000	8	3	3	0	1	2	2	4013	675	26	1328	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23.110567	8	3	3	0	1	2	2	4018	675	26	1389	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24.095517	8	3	3	0	1	2	2	4022	675	26	1448	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25.102083	8	3	3	0	1	2	2	4026	675	26	1508	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26.107200	8	3	3	0	1	2	2	4031	675	26	1568	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27.112317	8	3	3	0	1	2	2	4036	674	26	1629	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28.098717	8	3	3	0	1	2	2	4041	674	26	1688	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29.105283	8	3	3	0	1	2	2	4046	675	26	1748	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30.108967	8	3	3	0	1	2	2	4051	675	26	1809	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.096800	8	3	3	0	1	2	2	4055	675	26	1868	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32.100483	8	3	3	0	1	2	2	4060	674	26	1928	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33.107033	8	3	3	0	1	2	2	4066	674	26	1988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34.112167	8	3	3	0	1	2	2	4071	675	26	2049	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35.098567	8	3	3	0	1	2	2	4076	675	26	2108	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.103683	8	3	3	0	1	2	2	4081	674	26	2168	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.110233	8	3	3	0	1	2	2	4087	674	26	2229	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
38.096633	8	3	3	0	1	2	2	4092	676	26	2288	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
39.101767	8	3	3	0	1	2	2	4098	675	26	2348	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40.108317	8	3	3	0	1	2	2	4103	674	26	2408	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
41.112000	8	3	3	0	1	2	2	4109	674	26	2469	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42.099833	8	3	3	0	1	2	2	4115	675	26	2528	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
43.103517	8	3	3	0	1	2	2	4119	668	26	2588	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44.108633	8	3	3	0	1	2	2	4125	667	26	2648	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45.115200	8	3	3	0	1	2	2	4130	665	26	2709	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46.101600	8	3	3	0	1	2	2	4136	663	26	2768	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
47.106717	8	3	3	0	1	2	2	4142	664	26	2828	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48.110400	8	3	3	0	1	2	2	4148	663	26	2889	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49.098233	8	3	3	0	1	2	2	4155	663	26	2948	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
50.101917	8	3	3	0	1	2	2	4161	661	26	3008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
51.108483	8	3	3	0	1	2	2	4167	660	26	3068	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52.113600	8	3	3	0	1	2	2	4173	660	26	3129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
53.100000	8	3	3	0	1	2	2	4180	657	26	3188	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.106567	8	3	3	0	1	2	2	4187	658	26	3248	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.111683	8	3	3	0	1	2	2	4193	656	26	3309	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56.098083	8	3	3	0	1	2	2	4200	655	26	3368	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57.103200	8	3	3	0	1	2	2	4200	627	26	3428	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
58.109767	8	3	3	0	1	2	2	4200	603	26	3488	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59.113433	8	3	3	0	1	2	2	4200	581	26	3549	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60.101283	8	3	3	0	1	2	2	4200	560	26	3608	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61.104967	8	3	3	0	1	2	2	4200	540	26	3668	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
62.111517	8	3	3	0	1	2	2	4200	520	26	3728	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63.116633	8	3	3	0	1	2	2	4200	500	26	3789	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
64.103033	8	3	3	0	1	2	2	4200	480	26	3848	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65.108167	8	3	3	0	1	2	2	4200	461	26	3908	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
66.111833	8	3	3	0	1	2	2	4200	442	26	3969	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
67.099683	8	3	3	0	1	2	2	4200	425	26	4028	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
68.103367	8	3	3	0	1	2	2	4200	410	26	4088	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
69.109917	8	3	3	0	1	2	2	4200	394	26	4148	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
70.115033	8	3	3	0	1	2	2	4200	377	26	4209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
71.102883	8	3	3	0	1	2	2	4200	363	26	4268	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
72.108000	8	3	3	0	1	2	2	4200	350	26	4328	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
73.113117	8	3	3	0	1	2	2	4200	336	26	4389	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
74.099517	8	3	3	0	1	2	2	4200	324	26	4448	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
75.104633	8	3	3	0	1	2	2	4200	311	26	4508	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
