cycle_index,IR,Capacity,cycle_type,Temp_med,Iabs_med_dis,SOH_R,SOH_Q,EoL,RUL_cycles,cell_id
0,,,charge,24.623517679245655,0.0018559325616697292,,,False,214,B0005
1,,1.8564874208181574,discharge,32.82181469931217,2.012447887937708,,1.0115172778353463,False,213,B0005
2,,,charge,25.081128018540458,0.0025115390346657396,,,False,212,B0005
3,,1.846327249719927,discharge,32.887054935750214,2.0123947661725783,,1.0059814533011329,False,211,B0005
4,,,charge,25.13509218441573,0.002063626161738799,,,False,210,B0005
5,,1.8353491942234077,discharge,32.74449065421937,2.012465115117496,,1.0,False,209,B0005
6,,,charge,25.055220113114125,0.0013998937705924446,,,False,208,B0005
7,,1.8352625275821128,discharge,32.69370810609374,2.0120030597099046,,0.9999527792086826,False,207,B0005
8,,,charge,24.807414842569752,0.0017824436671497188,,,False,206,B0005
9,,1.8346455082120419,discharge,32.54302451289459,2.0125125150510774,,0.9996165928458842,False,205,B0005
10,,,charge,24.81535804034221,0.002754196238631708,,,False,204,B0005
11,,1.8356616600675495,discharge,32.466339178046475,2.0126380879061765,,1.0001702487162254,False,203,B0005
12,,,charge,24.892472345633188,0.002563764732481943,,,False,202,B0005
13,,1.8351461429226603,discharge,32.56209583122394,2.0126488209599676,,0.9998893663933891,False,201,B0005
14,,,charge,25.13784469804762,0.001747783084868308,,,False,200,B0005
15,,1.8257567905665537,discharge,32.523730454780136,2.0127903102057196,,0.9947735266471115,False,199,B0005
16,,,charge,25.008354400982945,0.0026810896652357816,,,False,198,B0005
17,,1.8247738529891333,discharge,32.48502308413157,2.012566762146765,,0.9942379677570027,False,197,B0005
18,,,charge,24.959033298935687,0.0019946691741013177,,,False,196,B0005
19,,1.824613268496936,discharge,32.33926506621356,2.0123020146245225,,0.994150472422217,False,195,B0005
20,,,charge,24.842713360488,0.0019092401503655956,,,False,194,B0005
21,,1.8246195526864504,discharge,32.196401210456386,2.0122457993739657,,0.9941538963970846,False,193,B0005
22,,,charge,25.018534449727834,0.0020129268173786404,,,False,192,B0005
23,,,charge,25.1286408895121,0.0022544565071659435,,,False,191,B0005
24,,1.8142019357673917,discharge,32.48943982479533,2.012684478682937,,0.988477801105874,False,190,B0005
25,,,charge,25.09543766479414,0.0022309263090526596,,,False,189,B0005
26,,1.8137521577549054,discharge,32.400157532015115,2.012373543024153,,0.9882327371072072,False,188,B0005
27,,,charge,24.75938167542792,0.0018998783493622958,,,False,187,B0005
28,,1.8134404914735822,discharge,32.18075994596482,2.0122311258868266,,0.9880629240371364,False,186,B0005
29,,,charge,24.847990380680432,0.001559532211749452,,,False,185,B0005
30,,1.8025980036306504,discharge,32.12156794796884,2.0122574920823038,,0.9821553355100824,False,184,B0005
31,,,charge,24.71922043945144,0.0020109173823899627,,,False,183,B0005
32,,1.80210690024615,discharge,32.026806864571704,2.012363191587701,,0.9818877551575009,False,182,B0005
33,,,charge,24.77493090833778,0.00276680484716601,,,False,181,B0005
34,,1.802579500826209,discharge,32.05377773972906,2.0125411378580895,,0.9821452541563545,False,180,B0005
