model,RMSE,MAE,R2,MAPE,equation,target,seed,run
SR-1 (SOH),0.0020162292074094998,0.001769755442817423,0.9996575945196763,0.25609414829318067,"add(sub(0.881, X0), mul(0.909, X0))",SOH,10,1
SR-2 (SOH),0.07181844130879868,0.06091240691756647,0.5655569496986801,8.622734717416474,"sqrt(mul(0.897, sqrt(sqrt(log(X0)))))",SOH,10,1
SINDy-1 (SOH),0.0076640385466355595,0.005165395494069728,0.9950526086610473,0.7532481516570835,"Coefficients: [[0.8882992636276145, 0.35013354107911077, 0.0, 0.0, 0.0, -0.5404357101356883, 0.05945316241975517, 0.09320667949642199, 0.0, 0.0, 0.2569268615827395, -0.3036512465716371, 0.021575351385178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2812388609657993, -0.2367844635639248, 0.037877811034522674, 0.12680014859886427, 0.0, -0.024550704063521125]]",SOH,10,1
SINDy-2 (SOH),0.03217458820884537,0.025128566392401346,0.9128059403934381,3.655816550208937,"Coefficients: [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",SOH,10,1
RF (SOH),0.021837776410287512,0.00999370670483838,0.9598322288684756,1.6309477096382716,"Black-box ensemble (200 trees, depth 10)",SOH,10,1
LSTM (SOH),0.01290343751901595,0.009909574309355573,0.985159640607698,1.357917057457919,"Black-box LSTM (64->32 units, window=10)",SOH,10,1
SR-1 (SOH),0.0048748177070172295,0.004787430528091965,0.9979983982888601,0.6606797201933089,"add(mul(-0.093, X0), 0.877)",SOH,20,2
SR-2 (SOH),0.06602416703120428,0.062061768163706246,0.632830358650235,8.562961728636942,"mul(sqrt(sqrt(sqrt(X2))), 0.900)",SOH,20,2
SINDy-1 (SOH),0.0076640385466355595,0.005165395494069728,0.9950526086610473,0.7532481516570835,"Coefficients: [[0.8882992636276145, 0.35013354107911077, 0.0, 0.0, 0.0, -0.5404357101356883, 0.05945316241975517, 0.09320667949642199, 0.0, 0.0, 0.2569268615827395, -0.3036512465716371, 0.021575351385178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2812388609657993, -0.2367844635639248, 0.037877811034522674, 0.12680014859886427, 0.0, -0.024550704063521125]]",SOH,20,2
SINDy-2 (SOH),0.03217458820884537,0.025128566392401346,0.9128059403934381,3.655816550208937,"Coefficients: [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",SOH,20,2
RF (SOH),0.02180868387256617,0.009889028970508553,0.9599391815156141,1.6159995550251165,"Black-box ensemble (200 trees, depth 10)",SOH,20,2
LSTM (SOH),0.011429203167529383,0.008656834029007477,0.988356984441721,1.2112113513778933,"Black-box LSTM (64->32 units, window=10)",SOH,20,2
SR-1 (SOH),0.00035813918653985176,0.0003148949225871002,0.9999891964971866,0.045536719242718925,"add(0.881, mul(X0, -0.092))",SOH,30,3
SR-2 (SOH),0.07212517231026058,0.06117922460626969,0.5618380798665907,8.666178605105864,"sqrt(mul(0.899, sqrt(sqrt(log(X0)))))",SOH,30,3
SINDy-1 (SOH),0.0076640385466355595,0.005165395494069728,0.9950526086610473,0.7532481516570835,"Coefficients: [[0.8882992636276145, 0.35013354107911077, 0.0, 0.0, 0.0, -0.5404357101356883, 0.05945316241975517, 0.09320667949642199, 0.0, 0.0, 0.2569268615827395, -0.3036512465716371, 0.021575351385178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2812388609657993, -0.2367844635639248, 0.037877811034522674, 0.12680014859886427, 0.0, -0.024550704063521125]]",SOH,30,3
SINDy-2 (SOH),0.03217458820884537,0.025128566392401346,0.9128059403934381,3.655816550208937,"Coefficients: [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",SOH,30,3
RF (SOH),0.02195236008756627,0.009970676319130019,0.9594095992221637,1.629746879873284,"Black-box ensemble (200 trees, depth 10)",SOH,30,3
LSTM (SOH),0.013522306586426468,0.010158436119573531,0.9837019694074735,1.4948411874053404,"Black-box LSTM (64->32 units, window=10)",SOH,30,3
